id,problemText,input,output
1,"Theatre Square in the capital city of Berland has a rectangular       shape with the size  n × m meters. On the occasion of the city's       anniversary, a decision was taken to pave the Square with square       granite flagstones. Each flagstone is of the size  a × a. What is the least number of flagstones needed to pave the Square?       It's allowed to cover the surface larger than the Theatre Square,       but the Square has to be covered. It's not allowed to break the       flagstones. The sides of flagstones should be parallel to the       sides of the Square.","The input contains three positive integer numbers in the first       line:  n,  m and  a (1 ≤  n, m, a ≤ 109).",Write the needed number of flagstones.,
2,"The winner of the card game popular in Berland       ""Berlogging"" is determined according to the following       rules. If at the end of the game there is only one player with the       maximum number of points, he is the winner. The situation becomes       more difficult if the number of such players is more than one.       During each round a player gains or loses a particular number of       points. In the course of the game the number of points is       registered in the line ""name       score"", where name is a player's name, and         score is the number of       points gained in this round, which is an integer number. If score       is negative, this means that the player has lost in the round. So,       if two or more players have the maximum number of points (say, it       equals to  m) at the end of the game, than wins the one of them who scored at least          m points first. Initially each player has 0       points. It's guaranteed that at the end of the game at least one       player has a positive number of points.","The first line contains an integer number  n (1  ≤  n  ≤  1000),  n is the number of rounds played. Then follow          n lines, containing the information about the       rounds in ""name       score"" format in chronological order, where name is a string of lower-case       Latin letters with the length from 1 to 32, and score is an integer number       between -1000 and 1000, inclusive.",Print the name of the winner.,
3,"The king is left alone on the chessboard. In spite of this       loneliness, he doesn't lose heart, because he has business of       national importance. For example, he has to pay an official visit       to square  t. As the king is not in habit of wasting his       time, he wants to get from his current position  s to square  t in the least number of moves. Help him to do this. In one move the king can get to the square that has a common side       or a common vertex with the square the king is currently in       (generally there are 8 different squares he can move to).","The first line contains the chessboard coordinates of square          s, the second line — of square  t. Chessboard coordinates consist of two characters, the first one       is a lowercase Latin letter (from a to h), the second one is a digit       from 1 to 8.","In the first line print  n — minimum number of the king's moves. Then in          n lines print the moves themselves. Each move is       described with one of the 8: L, R, U, D, LU, LD, RU or RD.   L, R, U, D stand respectively for moves       left, right, up and down (according to the picture), and 2-letter       combinations stand for diagonal moves. If the answer is not       unique, print any of them. ",
4,"One hot summer day Pete and his friend Billy decided to buy a       watermelon. They chose the biggest and the ripest one, in their       opinion. After that the watermelon was weighed, and the scales       showed  w kilos. They rushed home, dying of thirst, and       decided to divide the berry, however they faced a hard problem. Pete and Billy are great fans of even numbers, that's why they       want to divide the watermelon in such a way that each of the two       parts weighs even number of kilos, at the same time it is not       obligatory that the parts are equal. The boys are extremely tired       and want to start their meal as soon as possible, that's why you       should help them and find out, if they can divide the watermelon       in the way they want. For sure, each of them should get a part of       positive weight.",The first (and the only) input line contains integer number  w (1 ≤ w ≤ 100) — the weight of the       watermelon bought by the boys.,"Print YES, if the boys can       divide the watermelon into two parts, each of them weighing even       number of kilos; and NO in       the opposite case.","For example, the boys can divide the watermelon into two parts of       2 and 6 kilos respectively (another variant — two parts of 4 and 4 kilos)."
5,"Polycarp is working on a new project called ""Polychat"".       Following modern tendencies in IT, he decided, that this project       should contain chat as well. To achieve this goal, Polycarp has       spent several hours in front of his laptop and implemented a chat       server that can process three types of commands: Now Polycarp wants to find out the amount of outgoing traffic       that the server will produce while processing a particular set of commands. Polycarp knows that chat server sends no traffic for 'Add' and       'Remove' commands. When 'Send' command is processed, server sends          l bytes to each participant of the chat, where          l is the length of the message. As Polycarp has no time, he is asking for your help in solving       this problem.","Input file will contain not more than 100 commands, each in its       own line. No line will exceed 100 characters. Formats of the       commands will be the following:  <name> and <sender_name> is a       non-empty sequence of Latin letters and digits. <message_text> can contain       letters, digits and spaces, but can't start or end with a space.         <message_text> can       be an empty line. It is guaranteed, that input data are correct, i.e. there will be       no 'Add' command if person       with such a name is already in the chat, there will be no 'Remove' command if there is no       person with such a name in the chat etc. All names are case-sensitive.",Print a single number — answer to the problem.,
6,"Johnny has a younger sister Anne, who is very clever and smart.       As she came home from the kindergarten, she told his brother about       the task that her kindergartener asked her to solve. The task was       just to construct a triangle out of four sticks of different       colours. Naturally, one of the sticks is extra. It is not allowed       to break the sticks or use their partial length. Anne has       perfectly solved this task, now she is asking Johnny to do the same. The boy answered that he would cope with it without any       difficulty. However, after a while he found out that different       tricky things can occur. It can happen that it is impossible to       construct a triangle of a positive area, but it is possible to       construct a degenerate triangle. It can be so, that it is       impossible to construct a degenerate triangle even. As Johnny is       very lazy, he does not want to consider such a big amount of       cases, he asks you to help him.",The first line of the input contains four space-separated       positive integer numbers not exceeding 100 — lengthes of the sticks.,Output TRIANGLE if it is       possible to construct a non-degenerate triangle. Output SEGMENT if the first case cannot       take place and it is possible to construct a degenerate triangle.       Output IMPOSSIBLE if it is       impossible to construct any triangle. Remember that you are to use       three sticks. It is not allowed to break the sticks or use their       partial length.,
7,"A famous Berland's painter Kalevitch likes to shock the public.       One of his last obsessions is chess. For more than a thousand       years people have been playing this old game on uninteresting,       monotonous boards. Kalevitch decided to put an end to this       tradition and to introduce a new attitude to chessboards. As before, the chessboard is a square-checkered board with the       squares arranged in a 8 × 8 grid,       each square is painted black or white. Kalevitch suggests that       chessboards should be painted in the following manner: there       should be chosen a horizontal or a vertical line of 8 squares       (i.e. a row or a column), and painted black. Initially the whole       chessboard is white, and it can be painted in the above described       way one or more times. It is allowed to paint a square many times,       but after the first time it does not change its colour any more       and remains black. Kalevitch paints chessboards neatly, and it is       impossible to judge by an individual square if it was painted with       a vertical or a horizontal stroke. Kalevitch hopes that such chessboards will gain popularity, and       he will be commissioned to paint chessboards, which will help him       ensure a comfortable old age. The clients will inform him what       chessboard they want to have, and the painter will paint a white       chessboard meeting the client's requirements. It goes without saying that in such business one should economize       on everything — for each commission he wants to know the minimum       amount of strokes that he has to paint to fulfill the client's       needs. You are asked to help Kalevitch with this task.","The input file contains 8 lines, each of the lines contains 8       characters. The given matrix describes the client's requirements,         W character stands for a       white square, and B       character — for a square painted black. It is guaranteed that client's requirments can be fulfilled with       a sequence of allowed strokes (vertical/column or horizontal/row).",Output the only number — the minimum amount of rows and columns       that Kalevitch has to paint on the white chessboard to meet the       client's requirements.,
8,"Peter likes to travel by train. He likes it so much that on the       train he falls asleep.  Once in summer Peter was going by train from city A to city B,       and as usual, was sleeping. Then he woke up, started to look       through the window and noticed that every railway station has a       flag of a particular colour. The boy started to memorize the order of the flags' colours that       he had seen. But soon he fell asleep again. Unfortunately, he       didn't sleep long, he woke up and went on memorizing the colours.       Then he fell asleep again, and that time he slept till the end of       the journey. At the station he told his parents about what he was doing, and       wrote two sequences of the colours that he had seen before and       after his sleep, respectively. Peter's parents know that their son likes to fantasize. They give       you the list of the flags' colours at the stations that the train       passes sequentially on the way from A to B, and ask you to find       out if Peter could see those sequences on the way from A to B, or       from B to A. Remember, please, that Peter had two periods of wakefulness. Peter's parents put lowercase Latin letters for colours. The same       letter stands for the same colour, different letters — for       different colours.","The input data contains three lines. The first line contains a       non-empty string, whose length does not exceed 105,       the string consists of lowercase Latin letters — the flags'       colours at the stations on the way from A to B. On the way from B       to A the train passes the same stations, but in reverse order.  The second line contains the sequence, written by Peter during       the first period of wakefulness. The third line contains the       sequence, written during the second period of wakefulness. Both       sequences are non-empty, consist of lowercase Latin letters, and       the length of each does not exceed 100 letters. Each of the       sequences is written in chronological order. ",Output one of the four words without inverted commas: ,"It is assumed that the train moves all the time, so one flag       cannot be seen twice. There are no flags at stations A and B."
9,"Yakko, Wakko and Dot, world-famous animaniacs, decided to rest       from acting in cartoons, and take a leave to travel a bit. Yakko       dreamt to go to Pennsylvania, his Motherland and the Motherland of       his ancestors. Wakko thought about Tasmania, its beaches, sun and       sea. Dot chose Transylvania as the most mysterious and       unpredictable place. But to their great regret, the leave turned to be very short, so       it will be enough to visit one of the three above named places.       That's why Yakko, as the cleverest, came up with a truly genius       idea: let each of the three roll an ordinary six-sided die, and       the one with the highest amount of points will be the winner, and       will take the other two to the place of his/her dreams. Yakko thrown a die and got Y points, Wakko — W points. It was Dot's turn. But       she didn't hurry. Dot wanted to know for sure what were her       chances to visit Transylvania. It is known that Yakko and Wakko are true gentlemen, that's why       if they have the same amount of points with Dot, they will let Dot win.",The only line of the input file contains two natural numbers         Y and W — the results of Yakko's and       Wakko's die rolls.,"Output the required probability in the form of irreducible       fraction in format «A/B»,       where A — the numerator,       and B — the denominator. If       the required probability equals to zero, output «0/1». If the required probability       equals to 1, output «1/1». ","Dot will go to Transylvania, if she is lucky to roll 4, 5 or 6 points."
10,"Tom is interested in power consumption of his favourite laptop.       His laptop has three modes. In normal mode laptop consumes  P 1 watt per minute.  T 1 minutes after Tom moved       the mouse or touched the keyboard for the last time, a screensaver       starts and power consumption changes to  P 2 watt per minute.       Finally, after  T 2 minutes from the start       of the screensaver, laptop switches to the ""sleep"" mode       and consumes  P 3 watt per minute. If Tom       moves the mouse or touches the keyboard when the laptop is in the       second or in the third mode, it switches to the first (normal)       mode. Tom's work with the laptop can be divided into  n time periods [l 1, r 1], [l 2, r 2], ..., [l  n, r  n]. During each interval Tom continuously       moves the mouse and presses buttons on the keyboard. Between the       periods Tom stays away from the laptop. Find out the total amount       of power consumed by the laptop during the period [l 1, r  n].","The first line contains 6 integer numbers  n,  P 1,  P 2,  P 3,  T 1,  T 2 (1 ≤ n ≤ 100, 0 ≤ P 1, P 2, P 3 ≤ 100, 1 ≤ T 1, T 2 ≤ 60). The following          n lines contain description of Tom's work. Each          i-th of these lines contains two space-separated       integers  l  i and  r  i (0 ≤ l  i < r  i ≤ 1440,  r  i < l  i + 1 for  i < n), which stand for the start and       the end of the  i-th period of work.",Output the answer to the problem.,
