id,problemText,input,output
1,"In the popular spreadsheets systems (for example, in Excel) the       following numeration of columns is used. The first column has       number A, the second — number B, etc. till column 26 that is       marked by Z. Then there are two-letter numbers: column 27 has       number AA, 28 — AB, column 52 is marked by AZ. After ZZ there       follow three-letter numbers, etc. The rows are marked by integer numbers starting with 1. The cell       name is the concatenation of the column and the row numbers. For       example, BC23 is the name for the cell that is in column 55, row       23.  Sometimes another numeration system is used: RXCY, where X and Y       are integer numbers, showing the column and the row numbers       respectfully. For instance, R23C55 is the cell from the previous example. Your task is to write a program that reads the given sequence of       cell coordinates and produce each item written according to the       rules of another numeration system.","The first line of the input contains integer number  n (1 ≤ n ≤ 105), the number of coordinates in       the test. Then there follow  n lines, each of them contains coordinates. All       the coordinates are correct, there are no cells with the column       and/or the row numbers larger than 106 .","Write  n lines, each line should contain a cell       coordinates in the other numeration system.",
2,"There is a square matrix  n × n, consisting of non-negative integer       numbers. You should find such a way on it that  Moreover, if we multiply together all the numbers along the way,       the result should be the least ""round"". In other words,       it should end in the least possible number of zeros.","The first line contains an integer number  n (2 ≤ n ≤ 1000),  n is the size of the matrix. Then follow  n lines containing the matrix elements       (non-negative integer numbers not exceeding 109).",In the first line print the least number of trailing zeros. In       the second line print the correspondent way itself.,
3,"A group of tourists is going to kayak and catamaran tour. A       rented lorry has arrived to the boat depot to take kayaks and       catamarans to the point of departure. It's known that all kayaks       are of the same size (and each of them occupies the space of 1       cubic metre), and all catamarans are of the same size, but two       times bigger than kayaks (and occupy the space of 2 cubic metres). Each waterborne vehicle has a particular carrying capacity, and       it should be noted that waterborne vehicles that look the same can       have different carrying capacities. Knowing the truck body volume       and the list of waterborne vehicles in the boat depot (for each       one its type and carrying capacity are known), find out such set       of vehicles that can be taken in the lorry, and that has the       maximum total carrying capacity. The truck body volume of the       lorry can be used effectively, that is to say you can always put       into the lorry a waterborne vehicle that occupies the space not       exceeding the free space left in the truck body.","The first line contains a pair of integer numbers  n and  v (1 ≤ n ≤ 105; 1 ≤ v ≤ 109), where  n is the number of waterborne vehicles in the boat       depot, and  v is the truck body volume of the lorry in cubic       metres. The following  n lines contain the information about the       waterborne vehicles, that is a pair of numbers  t  i,  p  i (1 ≤ t  i ≤ 2; 1 ≤ p  i ≤ 104),       where  t  i is the vehicle type (1 – a kayak, 2 – a catamaran), and  p  i is its carrying capacity. The waterborne       vehicles are enumerated in order of their appearance in the input file.","In the first line print the maximum possible carrying capacity of       the set. In the second line print a string consisting of the       numbers of the vehicles that make the optimal set. If the answer       is not unique, print any of them.",
4,"Tomorrow Peter has a Biology exam. He does not like this subject       much, but  d days ago he learnt that he would have to take       this exam. Peter's strict parents made him prepare for the exam       immediately, for this purpose he has to study not less than  minTime  i and not more than  maxTime  i hours per each  i-th day. Moreover, they warned Peter that a day       before the exam they would check how he has followed their instructions. So, today is the day when Peter's parents ask him to show the       timetable of his preparatory studies. But the boy has counted only       the sum of hours  sumTime spent him on preparation, and now he wants       to know if he can show his parents a timetable  sсhedule with  d numbers, where each number  sсhedule  i stands for the time in hours spent by       Peter each  i-th day on biology studies, and satisfying the       limitations imposed by his parents, and at the same time the sum       total of all  schedule  i should equal to  sumTime.","The first input line contains two integer numbers  d, sumTime (1 ≤ d ≤ 30, 0 ≤ sumTime ≤ 240)       — the amount of days, during which Peter studied, and the total       amount of hours, spent on preparation. Each of the following  d lines contains two integer numbers  minTime  i, maxTime  i (0 ≤ minTime  i ≤ maxTime  i ≤ 8), separated by a space — minimum and       maximum amount of hours that Peter could spent in the  i-th day.","In the first line print YES, and in the second line print          d numbers (separated by a space), each of the       numbers — amount of hours, spent by Peter on preparation in the       corresponding day, if he followed his parents' instructions; or       print NO in the unique       line. If there are many solutions, print any of them.",
5,Almost every text editor has a built-in function of center text       alignment. The developers of the popular in Berland text editor       «Textpad» decided to introduce this functionality into the fourth       release of the product. You are to implement the alignment in the shortest possible time.       Good luck!,"The input file consists of one or more lines, each of the lines       contains Latin letters, digits and/or spaces. The lines cannot       start or end with a space. It is guaranteed that at least one of       the lines has positive length. The length of each line and the       total amount of the lines do not exceed 1000. ","Format the given text, aligning it center. Frame the whole text       with characters «*» of the       minimum size. If a line cannot be aligned perfectly (for example,       the line has even length, while the width of the block is uneven),       you should place such lines rounding down the distance to the left       or to the right edge and bringing them closer left or right       alternatively (you should start with bringing left). Study the       sample tests carefully to understand the output format better.",
6,"President of Berland has a very vast office-room, where, apart       from him, work his subordinates. Each subordinate, as well as       President himself, has his own desk of a unique colour. Each desk       is rectangular, and its sides are parallel to the office walls.       One day President decided to establish an assembly, of which all       his deputies will be members. Unfortunately, he does not remember       the exact amount of his deputies, but he remembers that the desk       of each his deputy is adjacent to his own desk, that is to say,       the two desks (President's and each deputy's) have a common side       of a positive length. The office-room plan can be viewed as a matrix with  n rows and  m columns. Each cell of this matrix is either       empty, or contains a part of a desk. An uppercase Latin letter       stands for each desk colour. The «period» character («.») stands for an empty cell. ","The first line contains two separated by a space integer numbers          n,  m (1 ≤ n, m ≤ 100) — the length       and the width of the office-room, and  c character — the President's desk colour. The       following  n lines contain  m characters each — the office-room description.       It is guaranteed that the colour of each desk is unique, and each       desk represents a continuous subrectangle of the given matrix. All       colours are marked by uppercase Latin letters.",Print the only number — the amount of President's deputies.,
7,"There is little time left before the release of the first       national operating system BerlOS. Some of its components are not       finished yet — the memory manager is among them. According to the       developers' plan, in the first release the memory manager will be       very simple and rectilinear. It will support three operations:  The memory model in this case is very simple. It is a sequence of          m bytes, numbered for convenience from the first       to the  m-th. The first operation alloc       n takes as the only parameter the size of the memory block       that is to be allocated. While processing this operation, a free       block of  n successive bytes is being allocated in the       memory. If the amount of such blocks is more than one, the block       closest to the beginning of the memory (i.e. to the first byte) is       prefered. All these bytes are marked as not free, and the memory       manager returns a 32-bit integer numerical token that is the       identifier of this block. If it is impossible to allocate a free       block of this size, the function returns NULL. The second operation erase       x takes as its parameter the identifier of some block. This       operation frees the system memory, marking the bytes of this block       as free for further use. In the case when this identifier does not       point to the previously allocated block, which has not been erased       yet, the function returns ILLEGAL_ERASE_ARGUMENT. The last operation defragment does not have any       arguments and simply brings the occupied memory sections closer to       the beginning of the memory without changing their respective order. In the current implementation you are to use successive integers,       starting with 1, as identifiers. Each successful alloc operation procession should       return following number. Unsuccessful alloc operations do not affect numeration. You are to write the implementation of the memory manager. You       should output the returned value for each alloc command. You should also       output ILLEGAL_ERASE_ARGUMENT for all       the failed erase commands.","The first line of the input data contains two positive integers          t and  m (1 ≤ t ≤ 100;1 ≤ m ≤ 100),       where  t — the amount of operations given to the memory       manager for processing, and  m — the available memory size in bytes. Then there       follow  t lines where the operations themselves are given.       The first operation is alloc       n (1 ≤ n ≤ 100), where          n is an integer. The second one is erase x, where  x is an arbitrary 32-bit integer numerical token.       The third operation is defragment. ","Output the sequence of lines. Each line should contain either the       result of alloc operation       procession , or ILLEGAL_ERASE_ARGUMENT as a       result of failed erase       operation procession. Output lines should go in the same order in       which the operations are processed. Successful procession of alloc operation should return       integers, starting with 1, as the identifiers of the allocated blocks.",
8,"The whole world got obsessed with robots,and to keep pace with       the progress, great Berland's programmer Draude decided to build       his own robot. He was working hard at the robot. He taught it to       walk the shortest path from one point to another, to record all       its movements, but like in many Draude's programs, there was a bug       — the robot didn't always walk the shortest path. Fortunately, the       robot recorded its own movements correctly. Now Draude wants to       find out when his robot functions wrong. Heh, if Draude only       remembered the map of the field, where he tested the robot, he       would easily say if the robot walked in the right direction or       not. But the field map was lost never to be found, that's why he       asks you to find out if there exist at least one map, where the       path recorded by the robot is the shortest. The map is an infinite checkered field, where each square is       either empty, or contains an obstruction. It is also known that       the robot never tries to run into the obstruction. By the recorded       robot's movements find out if there exist at least one such map,       that it is possible to choose for the robot a starting square (the       starting square should be empty) such that when the robot moves       from this square its movements coincide with the recorded ones       (the robot doesn't run into anything, moving along empty squares       only), and the path from the starting square to the end one is the shortest. In one movement the robot can move into the square (providing       there are no obstrutions in this square) that has common sides       with the square the robot is currently in.","The first line of the input file contains the recording of the       robot's movements. This recording is a non-empty string,       consisting of uppercase Latin letters L, R, U and D, standing for movements left,       right, up and down respectively. The length of the string does not       exceed 100.","In the first line output the only word OK (if the above described map       exists), or BUG (if such a       map does not exist).",
9,"And again a misfortune fell on Poor Student. He is being late for       an exam. Having rushed to a bus stop that is in point (0, 0), he got on a minibus and they drove       along a straight line, parallel to axis  OX, in the direction of increasing  x. Poor Student knows the following:  Poor Student wants to get to the University as soon as possible.       Help him to choose the bus stop, where he should get off. If such       bus stops are multiple, choose the bus stop closest to the University.","The first line contains three integer numbers: 2 ≤ n ≤ 100, 1 ≤ v  b, v  s ≤ 1000. The second line contains  n non-negative integers in ascending order:       coordinates  x  i of the bus stop with index  i. It is guaranteed that  x 1 equals to zero, and          x  n ≤ 105.       The third line contains the coordinates of the University,       integers  x  u and  y  u, not exceeding 105 in       absolute value. ",In the only line output the answer to the problem — index of the       optimum bus stop.,"As you know, students are a special sort of people, and minibuses       usually do not hurry. That's why you should not be surprised, if       Student's speed is higher than the speed of the minibus."
10,"All cinema halls in Berland are rectangles with  K rows of  K seats each, and  K is an odd number. Rows and seats are numbered       from 1 to  K. For safety reasons people, who come to the box       office to buy tickets, are not allowed to choose seats themselves.       Formerly the choice was made by a cashier, but now this is the       responsibility of a special seating program. It was found out that       the large majority of Berland's inhabitants go to the cinema in       order to watch a movie, that's why they want to sit as close to       the hall center as possible. Moreover, a company of  M people, who come to watch a movie, want       necessarily to occupy  M successive seats in one row. Let's formulate the       algorithm, according to which the program chooses seats and sells       tickets. As the request for  M seats comes, the program should determine the       row number  x and the segment [y  l, y  r] of the seats numbers in this row, where          y  r - y  l + 1 = M. From all such possible       variants as a final result the program should choose the one with       the minimum function value of total seats remoteness from the       center. Say,        — the row and the seat numbers of the most ""central""       seat. Then the function value of seats remoteness from the hall       center is .       If the amount of minimum function values is more than one, the       program should choose the one that is closer to the screen (i.e.       the row number  x is lower). If the variants are still multiple,       it should choose the one with the minimum  y  l. If you did not get yet, your task is to       simulate the work of this program. ","The first line contains two integers  N and  K (1 ≤ N ≤ 1000, 1 ≤ K ≤ 99) —       the amount of requests and the hall size respectively. The second       line contains  N space-separated integers  M  i from the range [1, K] — requests to the program.","Output  N lines. In the  i-th line output «-1» (without quotes), if it is       impossible to find  M  i successive seats in one row, otherwise       output three numbers  x, y  l, y  r. Separate the numbers with a space.",
