id,problemText,input,output
1,"Theatre Square in the capital city of Berland has a rectangular       shape with the size  n × m meters. On the occasion of the city's       anniversary, a decision was taken to pave the Square with square       granite flagstones. Each flagstone is of the size  a × a. What is the least number of flagstones needed to pave the Square?       It's allowed to cover the surface larger than the Theatre Square,       but the Square has to be covered. It's not allowed to break the       flagstones. The sides of flagstones should be parallel to the       sides of the Square.","The input contains three positive integer numbers in the first       line:  n,  m and  a (1 ≤  n, m, a ≤ 109).",Write the needed number of flagstones.,
6,"Johnny has a younger sister Anne, who is very clever and smart.       As she came home from the kindergarten, she told his brother about       the task that her kindergartener asked her to solve. The task was       just to construct a triangle out of four sticks of different       colours. Naturally, one of the sticks is extra. It is not allowed       to break the sticks or use their partial length. Anne has       perfectly solved this task, now she is asking Johnny to do the same. The boy answered that he would cope with it without any       difficulty. However, after a while he found out that different       tricky things can occur. It can happen that it is impossible to       construct a triangle of a positive area, but it is possible to       construct a degenerate triangle. It can be so, that it is       impossible to construct a degenerate triangle even. As Johnny is       very lazy, he does not want to consider such a big amount of       cases, he asks you to help him.",The first line of the input contains four space-separated       positive integer numbers not exceeding 100 — lengthes of the sticks.,Output TRIANGLE if it is       possible to construct a non-degenerate triangle. Output SEGMENT if the first case cannot       take place and it is possible to construct a degenerate triangle.       Output IMPOSSIBLE if it is       impossible to construct any triangle. Remember that you are to use       three sticks. It is not allowed to break the sticks or use their       partial length.,
73,"Vasya plays The Elder Trolls IV: Oblivon. Oh, those creators of       computer games! What they do not come up with! Absolutely unique       monsters have been added to the The Elder Trolls IV: Oblivon. One       of these monsters is Unkillable Slug. Why it is       ""Unkillable""? Firstly, because it can be killed with       cutting weapon only, so lovers of two-handed amber hammers should       find suitable knife themselves. Secondly, it is necessary to make       so many cutting strokes to Unkillable Slug. Extremely many. Too       many!  Vasya has already promoted his character to 80-th level and in       order to gain level 81 he was asked to kill Unkillable Slug. The       monster has a very interesting shape. It looks like a rectangular       parallelepiped with size  x × y × z, consisting of       undestructable cells 1 × 1 × 1. At       one stroke Vasya can cut the Slug along an imaginary grid, i.e.       cut with a plane parallel to one of the parallelepiped side.       Monster dies when amount of parts it is divided reaches some       critical value. All parts of monster do not fall after each cut, they remains       exactly on its places. I. e. Vasya can cut several parts with one cut. Vasya wants to know what the maximum number of pieces he can cut       the Unkillable Slug into striking him at most  k times. Vasya's character uses absolutely thin sword with infinite length.","The first line of input contains four integer numbers  x, y, z, k (1 ≤ x, y, z ≤ 106, 0 ≤ k ≤ 109).","Output the only number — the answer for the problem. Please, do not use %lld       specificator to read or write 64-bit integers in C++. It is       preffered to use cout (also       you may use %I64d).","In the first sample Vasya make 3 pairwise perpendicular cuts. He       cuts monster on two parts with the first cut, then he divides each       part on two with the second cut, and finally he divides each of       the 4 parts on two."
85,"We all know the problem about the number of ways one can tile a         2 × n field by 1 × 2 dominoes. You probably remember that       it goes down to Fibonacci numbers. We will talk about some other       problem below, there you also are going to deal with tiling a       rectangular field with dominoes. You are given a 4 × n       rectangular field, that is the field that contains four lines and          n columns. You have to find for it any tiling by         1 × 2 dominoes such that each of       the  n - 1 potential vertical cuts along the grid lines       intersects at least one domino, splitting it in two. No two       dominoes in the sought tiling should overlap, each square of the       field should be covered by exactly one domino. It is allowed to       rotate the dominoes, that is, you can use 2 × 1 as well as 1 × 2 dominoes. Write a program that finds an arbitrary sought tiling. ",The input contains one positive integer  n (1 ≤ n ≤ 100) — the number of the       field's columns.,"If there's no solution, print ""-1"" (without the       quotes). Otherwise, print four lines containing  n characters each — that's the description of       tiling, where each vertical cut intersects at least one domino.       You should print the tiling, having painted the field in no more       than 26 colors. Each domino should       be painted a color. Different dominoes can be painted the same       color, but dominoes of the same color should not be       side-neighbouring. To indicate colors you should use lowercase       Latin letters. Print any of the acceptable ways of tiling.",
93,"Throughout Igor K.'s life he has had many situations worthy of       attention. We remember the story with the virus, the story of his       mathematical career and of course, his famous programming       achievements. However, one does not always adopt new hobbies, one       can quit something as well. This time Igor K. got disappointed in one of his hobbies: editing       and voicing videos. Moreover, he got disappointed in it so much,       that he decided to destroy his secret archive for good.  Igor K. use Pindows XR operation system which represents files       and folders by small icons. At that,  m icons can fit in a horizontal row in any window. Igor K.'s computer contains  n folders in the D: disk's root catalog. The       folders are numbered from 1 to  n in the order from the left to the right and from       top to bottom (see the images). At that the folders with secret       videos have numbers from  a to  b inclusive. Igor K. wants to delete them forever,       at that making as few frame selections as possible, and then       pressing Shift+Delete exactly once. What is the minimum number of       times Igor K. will have to select the folder in order to select       folders from  a to  b and only them? Let us note that if some selected       folder is selected repeatedly, then it is deselected. Each       selection possesses the shape of some rectangle with sides       parallel to the screen's borders.","The only line contains four integers  n,  m,  a,  b (1 ≤ n, m ≤ 109, 1 ≤ a ≤ b ≤ n). They       are the number of folders in Igor K.'s computer, the width of a       window and the numbers of the first and the last folders that need       to be deleted.",Print a single number: the least possible number of times Igor K.       will have to select the folders using frames to select only the       folders with numbers from  a to  b.,"The images below illustrate statement tests. The first test:   In this test we can select folders 3 and 4 with out first       selection, folders 5, 6, 7, 8 with our second selection and folder       9 with our third, last selection. The second test:   In this test we can first select all folders in the first row (2,       3, 4, 5), then — all other ones."
103,"The average miner Vaganych took refresher courses. As soon as a       miner completes the courses, he should take exams. The hardest one       is a computer test called ""Testing Pants for Sadness"". The test consists of  n questions; the questions are to be answered       strictly in the order in which they are given, from question 1 to question  n. Question  i contains  a  i answer variants, exactly one of them is       correct.  A click is regarded as selecting any answer in any question. The       goal is to select the correct answer for each of the  n questions. If Vaganych selects a wrong answer       for some question, then all selected answers become unselected and       the test starts from the very beginning, from question 1 again. But Vaganych remembers       everything. The order of answers for each question and the order       of questions remain unchanged, as well as the question and answers themselves. Vaganych is very smart and his memory is superb, yet he is       unbelievably unlucky and knows nothing whatsoever about the test's       theme. How many clicks will he have to perform in the worst case?","The first line contains a positive integer  n (1 ≤ n ≤ 100). It is the number of       questions in the test. The second line contains space-separated          n positive integers  a  i (1 ≤ a  i ≤ 109),       the number of answer variants to question  i.","Print a single number — the minimal number of clicks needed to       pass the test it the worst-case scenario.  Please do not use the %lld specificator to read or write 64-bit       integers in С++. It is preferred to use the cin, cout streams or       the %I64d specificator.",Note to the second sample. In the worst-case scenario you will       need five clicks: 
192,"As you very well know, this year's funkiest numbers are so called       triangular numbers (that is, integers that are representable as         ,       where  k is some positive integer), and the coolest       numbers are those that are representable as a sum of two       triangular numbers. A well-known hipster Andrew adores everything funky and cool but       unfortunately, he isn't good at maths. Given number  n, help him define whether this number can be       represented by a sum of two triangular numbers (not necessarily different)!",The first input line contains an integer  n (1 ≤ n ≤ 109).,"Print ""YES"" (without the quotes), if  n can be represented as a sum of two triangular       numbers, otherwise print ""NO"" (without the quotes).",In the first sample number . In the second sample number 512 can       not be represented as a sum of two triangular numbers.
254,"Petya has got 2n cards, each       card contains some integer. The numbers on the cards can be the       same. Let's index all cards by consecutive integers from 1 to 2n. We'll denote the number that is       written on a card with number  i, as  a  i. In order to play one entertaining game       with his friends, Petya needs to split the cards into pairs so       that each pair had equal numbers on the cards. Help Petya do that.","The first line contains integer  n (1 ≤ n ≤ 3·105). The second line contains the       sequence of 2n positive       integers  a 1, a 2, ..., a 2n (1 ≤ a  i ≤ 5000) — the numbers that are written       on the cards. The numbers on the line are separated by single spaces.","If it is impossible to divide the cards into pairs so that cards       in each pair had the same numbers, print on a single line integer         -1. But if the required       partition exists, then print  n pairs of integers, a pair per line — the indices       of the cards that form the pairs. Separate the numbers on the lines by spaces. You can print the       pairs and the numbers in the pairs in any order. If there are       multiple solutions, print any of them.",
262,"Roma (a popular Russian name that means 'Roman') loves the Little       Lvov Elephant's lucky numbers. Let us remind you that lucky numbers are positive integers whose       decimal representation only contains lucky digits 4 and 7. For       example, numbers 47, 744, 4 are       lucky and 5, 17, 467 are not. Roma's got  n positive integers. He wonders, how many of those       integers have not more than  k lucky digits? Help him, write the program that       solves the problem.","The first line contains two integers  n,  k (1 ≤ n, k ≤ 100). The second       line contains  n integers  a  i (1 ≤ a  i ≤ 109) —       the numbers that Roma has.  The numbers in the lines are separated by single spaces.",In a single line print a single integer — the answer to the problem.,"In the first sample all numbers contain at most four lucky       digits, so the answer is 3. In the second sample number 447       doesn't fit in, as it contains more than two lucky digits. All       other numbers are fine, so the answer is 2."
274,"A  k-multiple free set is a set of integers where       there is no pair of integers where one is equal to another integer       multiplied by  k. That is, there are no two integers  x and  y (x < y) from the set,       such that  y = x·k. You're given a set of  n distinct positive integers. Your task is to find       the size of it's largest  k-multiple free subset.","The first line of the input contains two integers  n and  k (1 ≤ n ≤ 105, 1 ≤ k ≤ 109). The next line contains a list       of  n distinct positive integers  a 1, a 2, ..., a  n (1 ≤ a  i ≤ 109). All the numbers in the lines are separated by single spaces.","On the only line of the output print the size of the largest          k-multiple free subset of {a 1, a 2, ..., a  n}.","In the sample input one of the possible maximum 2-multiple free       subsets is {4, 5, 6}."
